frame,frame_total,update,physics,collision,enemy_manager,ai,render,render_tiles,render_particles,render_hazards,render_pickups,render_portals,render_enemies,render_npcs,render_player,render_companions,render_projectiles,render_hud,present,fps_instantaneous
31,16.7055,7.4392,0.0045,0.3048,0.0082,0.0,8.9882,6.84,0.0269,0.0031,0.507,0.0986,0.0041,0.0348,0.0348,0.0628,0.0009,1.2064,0.0009,59.86
32,16.0011,5.2934,0.0065,0.6172,0.0074,0.0,10.4387,7.4775,0.0253,0.0034,0.6984,0.1118,0.0055,0.0601,0.0491,0.0999,0.0015,1.7229,0.0006,62.5
33,15.2307,4.0388,0.005,0.3017,0.0226,0.0,8.4503,6.451,0.02,0.003,0.5074,0.0886,0.0037,0.0355,0.0347,0.0597,0.0012,1.0646,0.0005,65.66
34,12.6402,3.2501,0.0036,0.3237,0.0071,0.0,9.0985,6.9911,0.0256,0.0037,0.5035,0.0919,0.0034,0.0349,0.0366,0.0583,0.0013,1.181,0.0005,79.11
35,11.5008,3.9895,0.004,0.2981,0.0079,0.0,7.2075,5.2534,0.0138,0.0022,0.4851,0.0853,0.0028,0.0335,0.0328,0.061,0.0008,1.0818,0.0005,86.95
36,11.9973,3.5558,0.003,0.3147,0.0075,0.0,8.1712,6.0655,0.012,0.0026,0.535,0.0895,0.0038,0.0404,0.0905,0.0884,0.0011,1.0854,0.0005,83.35
37,11.0377,3.1195,0.0026,0.2883,0.0066,0.0,7.6616,5.6132,0.0069,0.0026,0.5695,0.0911,0.0034,0.0347,0.0335,0.0562,0.0012,1.1001,0.0009,90.6
38,11.3312,3.2802,0.0039,0.4101,0.0072,0.0,7.7772,5.7019,0.0028,0.0028,0.4949,0.0854,0.0034,0.0346,0.0449,0.0667,0.0016,1.1861,0.0006,88.25
39,11.1722,3.5396,0.0036,0.5571,0.0077,0.0,7.3566,5.3094,0.0031,0.0023,0.4978,0.1098,0.0032,0.0353,0.0338,0.0595,0.0009,1.1492,0.0005,89.51
40,10.7152,3.2403,0.0029,0.2954,0.0068,0.0,7.1983,5.2255,0.0025,0.0025,0.5134,0.0848,0.0035,0.0344,0.0331,0.057,0.001,1.0981,0.0005,93.33
41,10.766,3.236,0.0029,0.2958,0.0071,0.0,7.2699,5.3003,0.0023,0.0023,0.5473,0.0847,0.0031,0.0312,0.0303,0.062,0.0008,1.0564,0.0005,92.89
42,10.8542,3.3339,0.0028,0.2957,0.0075,0.0,7.2239,5.2338,0.0018,0.002,0.538,0.0893,0.0033,0.0326,0.0332,0.0578,0.0009,1.0866,0.0006,92.13
43,11.1439,3.2155,0.0034,0.2944,0.0068,0.0,7.6507,5.5428,0.0025,0.0022,0.637,0.0898,0.0031,0.032,0.0329,0.0579,0.0007,1.0879,0.0004,89.74
44,11.0461,3.3569,0.0028,0.2957,0.0068,0.0,7.4052,5.3967,0.002,0.0023,0.5663,0.0893,0.0042,0.0348,0.035,0.0603,0.0009,1.066,0.0007,90.53
45,22.411,14.7494,0.0038,0.3033,0.0071,0.0,7.3963,5.4984,0.0031,0.0025,0.5036,0.0862,0.0038,0.0321,0.0313,0.0643,0.001,1.0211,0.0005,44.62
46,10.4385,3.1269,0.0032,0.2934,0.007,0.0,7.0642,5.1922,0.0018,0.0023,0.4791,0.0836,0.0027,0.0319,0.029,0.0643,0.0008,1.0278,0.0004,95.8
47,12.3403,3.8475,0.0037,0.3021,0.0074,0.0,8.2138,5.9625,0.003,0.0034,0.6759,0.0911,0.0035,0.0345,0.0334,0.0668,0.0011,1.1812,0.0007,81.04
48,11.6858,3.5675,0.003,0.3093,0.0074,0.0,7.7894,5.1653,0.0021,0.0036,0.4903,0.0896,0.0035,0.0342,0.0353,0.0724,0.0011,1.7329,0.0009,85.57
49,11.5987,3.557,0.0033,0.3286,0.0134,0.0,7.6346,5.6862,0.0024,0.0025,0.5007,0.0854,0.0033,0.0328,0.0324,0.07,0.0012,1.0466,0.0004,86.22
50,10.9481,3.5119,0.003,0.3001,0.0074,0.0,7.152,5.2537,0.0027,0.0026,0.4938,0.0852,0.0032,0.0331,0.0322,0.06,0.0008,1.0384,0.0004,91.34
